study	group	count	measurement	substance	tissue	intervention	time	time_unit	mean	sd	unit	method	label	comments
Macha2013	dig	20	concentration	digoxin	plasma	DIG	0.0	hr	NA	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	0.333333333333333	hr	0.9188475	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	0.666666666666667	hr	1.9017829	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	1.0	hr	1.9605876	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	1.5	hr	1.5813876	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	2.0	hr	1.244908	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	2.5	hr	1.0152365	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	3.0	hr	0.85502416	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	4.0	hr	0.68955815	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	6.0	hr	0.4386955	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	8.0	hr	0.3908684	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	10.0	hr	0.36435005	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	12.0	hr	0.327192	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	24.0	hr	0.33921307	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	36.0	hr	NA	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	48.0	hr	0.20835538	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
Macha2013	dig	20	concentration	digoxin	plasma	DIG	72.0	hr	0.17362213	NA	ng/ml	HPLC MS/MS	Fig3_DIG	NA
