study	group	count	measurement	substance	tissue	intervention	time	time_unit	mean	sd	unit	method	label	comments
Macha2013	rami	23	concentration	ramiprilat	plasma	RAM, RAM5	10.0	hr	2.7761195	NA	ng/ml	HPLC MS/MS	Fig2B_ramiprilat	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	RAM, RAM5	12.0	hr	2.3283582	NA	ng/ml	HPLC MS/MS	Fig2B_ramiprilat	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	RAM, RAM5	24.0	hr	1.4328358	NA	ng/ml	HPLC MS/MS	Fig2B_ramiprilat	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	RAM, RAM5	36.0	hr	1.1940298	NA	ng/ml	HPLC MS/MS	Fig2B_ramiprilat	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	RAM, RAM5	48.0	hr	0.98507464	NA	ng/ml	HPLC MS/MS	Fig2B_ramiprilat	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	RAM, RAM5	72.0	hr	0.80597013	NA	ng/ml	HPLC MS/MS	Fig2B_ramiprilat	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	0.333333333333333	hr	1.7910448	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	0.666666666666667	hr	4.8358207	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	1.0	hr	8.38806	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	1.5	hr	10.776119	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	2.5	hr	10.895522	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	2.5	hr	10.38806	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	3.5	hr	9.402985	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	4.0	hr	7.6119404	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	6.0	hr	4.80597	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	8.0	hr	3.4626865	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	10.0	hr	2.686567	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	12.0	hr	2.2985075	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	24.0	hr	1.3731344	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	36.0	hr	1.1044776	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	48.0	hr	0.95522386	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
Macha2013	rami	23	concentration	ramiprilat	plasma	EMPM5, RAM, RAM5	72.0	hr	0.80597013	NA	ng/ml	HPLC MS/MS	Fig2B_EMPM5_RAM	NA
