study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Li2020	all	48.0	NA	species	48.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	all	48.0	NA	healthy	48.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	all	48.0	NA	ethnicity	48.0	NA	chinese	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	all	48.0	NA	 fasting	24.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	all	48.0	NA	sex	12.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	all	48.0	NA	sex	36.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	fasting	24.0	all	sex	18.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	fasting	24.0	all	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	fasting	24.0	all	age	24.0	NA	NA	25.9	NA	7.8	NA	19.0	48.0	year	NA
Li2020	fasting	24.0	all	height	24.0	NA	NA	164.6	NA	6.2	NA	156.0	179.5	cm	NA
Li2020	fasting	24.0	all	weight	24.0	NA	NA	58.2	NA	7.0	NA	47.5	80.1	kg	NA
Li2020	fasting	24.0	all	bmi	24.0	NA	NA	21.4	NA	1.7	NA	19.1	24.9	kg/m^2	NA
Li2020	fed	24.0	all	sex	18.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	fed	24.0	all	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Li2020	fed	24.0	all	age	24.0	NA	NA	25.0	NA	7.5	NA	18.0	45.0	year	NA
Li2020	fed	24.0	all	height	24.0	NA	NA	165.9	NA	7.5	NA	152.5	179.5	cm	NA
Li2020	fed	24.0	all	weight	24.0	NA	NA	59.9	NA	6.7	NA	49.6	73.3	kg	NA
Li2020	fed	24.0	all	bmi	24.0	NA	NA	21.8	NA	2.1	NA	19.0	25.9	kg/m^2	NA
