study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Chen2020	all	30.0	NA	species	30.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Chen2020	all	30.0	NA	healthy 	30.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Chen2020	all	30.0	NA	ethnicity	30.0	NA	chinese	NA	NA	NA	NA	NA	NA	NA	NA
Chen2020	all	30.0	NA	sex	20.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Chen2020	all	30.0	NA	sex	10.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Chen2020	Fasting_T	30.0	all	age	30.0	NA	NA	30.8	NA	5.02	NA	20.0	38.0	year	NA
Chen2020	Fasting_T	30.0	all	height	30.0	NA	NA	167.05	NA	8.45	NA	149.5	189.0	cm	NA
Chen2020	Fasting_T	30.0	all	weight	30.0	NA	NA	62.93	NA	8.51	NA	46.8	83.6	kg	NA
Chen2020	Fasting_T	30.0	all	bmi	30.0	NA	NA	22.47	NA	1.74	NA	19.1	26.1	kg/m^2	NA
Chen2020	Fasting_R	30.0	all	age	30.0	NA	NA	30.8	NA	5.02	NA	20.0	38.0	year	NA
Chen2020	Fasting_R	30.0	all	height	30.0	NA	NA	167.05	NA	8.45	NA	149.5	189.0	cm	NA
Chen2020	Fasting_R	30.0	all	weight	30.0	NA	NA	62.93	NA	8.51	NA	46.8	83.6	kg	NA
Chen2020	Fasting_R	30.0	all	bmi	30.0	NA	NA	22.47	NA	1.74	NA	19.1	26.1	kg/m^2	NA
Chen2020	Fasting_TR	15.0	Fasting_T	age	15.0	NA	NA	30.47	NA	5.94	NA	20.0	38.0	year	NA
Chen2020	Fasting_TR	15.0	Fasting_T	height	15.0	NA	NA	167.57	NA	6.69	NA	152.0	181.0	cm	NA
Chen2020	Fasting_TR	15.0	Fasting_T	weight	15.0	NA	NA	63.19	NA	7.41	NA	49.2	72.7	kg	NA
Chen2020	Fasting_TR	15.0	Fasting_T	bmi	15.0	NA	NA	22.46	NA	1.89	NA	19.9	26.1	kg/m^2	NA
Chen2020	Fasting_RT	15.0	Fasting_T	age	15.0	NA	NA	31.13	NA	4.09	NA	25.0	38.0	year	NA
Chen2020	Fasting_RT	15.0	Fasting_T	height	15.0	NA	NA	166.53	NA	10.12	NA	149.5	189.0	cm	NA
Chen2020	Fasting_RT	15.0	Fasting_T	weight	15.0	NA	NA	62.68	NA	9.75	NA	46.8	83.6	kg	NA
Chen2020	Fasting_RT	15.0	Fasting_T	bmi	15.0	NA	NA	22.48	NA	1.63	NA	19.9	26.1	kg/m^2	NA
Chen2020	Fed_T	30.0	all	age	30.0	NA	NA	31.57	NA	5.19	NA	20.0	42.0	year	NA
Chen2020	Fed_T	30.0	all	height	30.0	NA	NA	164.57	NA	7.38	NA	149.0	178.0	cm	NA
Chen2020	Fed_T	30.0	all	weight	30.0	NA	NA	60.99	NA	7.13	NA	49.6	76.8	kg	NA
Chen2020	Fed_T	30.0	all	bmi	30.0	NA	NA	22.48	NA	1.71	NA	19.2	26.4	kg/m^2	NA
Chen2020	Fed_R	30.0	all	age	30.0	NA	NA	31.57	NA	5.19	NA	20.0	42.0	year	NA
Chen2020	Fed_R	30.0	all	height	30.0	NA	NA	164.57	NA	7.38	NA	149.0	178.0	cm	NA
Chen2020	Fed_R	30.0	all	weight	30.0	NA	NA	60.99	NA	7.13	NA	49.6	76.8	kg	NA
Chen2020	Fed_R	30.0	all	bmi	30.0	NA	NA	22.48	NA	1.71	NA	19.2	26.4	kg/m^2	NA
Chen2020	Fed_TR	15.0	Fed_T	age	15.0	NA	NA	31.2	NA	5.23	NA	20.0	39.0	year	NA
Chen2020	Fed_TR	15.0	Fed_T	height	15.0	NA	NA	164.87	NA	7.01	NA	153.0	178.0	cm	NA
Chen2020	Fed_TR	15.0	Fed_T	weight	15.0	NA	NA	58.94	NA	6.44	NA	49.6	76.8	kg	NA
Chen2020	Fed_TR	15.0	Fed_T	bmi	15.0	NA	NA	21.65	NA	1.42	NA	19.2	24.2	kg/m^2	NA
Chen2020	Fed_RT	15.0	Fed_T	age	15.0	NA	NA	31.93	NA	5.31	NA	21.0	42.0	year	NA
Chen2020	Fed_RT	15.0	Fed_T	height	15.0	NA	NA	164.27	NA	7.96	NA	149.0	176.0	cm	NA
Chen2020	Fed_RT	15.0	Fed_T	weight	15.0	NA	NA	63.03	NA	7.4	NA	51.0	74.8	kg	NA
Chen2020	Fed_RT	15.0	Fed_T	bmi	15.0	NA	NA	23.31	NA	1.61	NA	20.7	26.4	kg/m^2	NA
