study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Sarashina2013	all	48.0	NA	species	48.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2013	all	48.0	NA	healthy 	48.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2013	all	48.0	NA	ethnicity	48.0	NA	japanese	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2013	all	48.0	NA	sex	48.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2013	all	48.0	NA	age	48.0	NA	NA	NA	25.5	NA	NA	20.0	35.0	yr	NA
Sarashina2013	all	48.0	NA	height	48.0	NA	NA	NA	171.5	NA	NA	160.0	186.0	cm	NA
Sarashina2013	all	48.0	NA	weight	48.0	NA	NA	NA	62.6	NA	NA	50.2	80.6	kg	NA
Sarashina2013	all	48.0	NA	bmi	48.0	NA	NA	NA	20.9	NA	NA	18.0	24.5	kg/m^2	NA
Sarashina2013	all	48.0	NA	blood pressure (categorical)	48.0	NA	normal	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2013	placebo	12.0	all	age	12.0	NA	NA	NA	24.0	NA	NA	20.0	35.0	yr	NA
Sarashina2013	placebo	12.0	all	height	12.0	NA	NA	NA	170.0	NA	NA	160.0	182.0	cm	NA
Sarashina2013	placebo	12.0	all	weight	12.0	NA	NA	NA	55.7	NA	NA	50.2	70.5	kg	NA
Sarashina2013	placebo	12.0	all	bmi	12.0	NA	NA	NA	19.8	NA	NA	18.3	23.2	kg/m^2	NA
Sarashina2013	EMP1	6.0	all	age	6.0	NA	NA	NA	31.0	NA	NA	24.0	31.0	yr	NA
Sarashina2013	EMP1	6.0	all	height	6.0	NA	NA	NA	166.5	NA	NA	165.0	186.0	cm	NA
Sarashina2013	EMP1	6.0	all	weight	6.0	NA	NA	NA	60.4	NA	NA	52.6	71.8	kg	NA
Sarashina2013	EMP1	6.0	all	bmi	6.0	NA	NA	NA	20.6	NA	NA	19.0	23.3	kg/m^2	NA
Sarashina2013	EMP5	6.0	all	age	6.0	NA	NA	NA	27.5	NA	NA	22.0	30.0	yr	NA
Sarashina2013	EMP5	6.0	all	height	6.0	NA	NA	NA	174.0	NA	NA	166.0	183.0	cm	NA
Sarashina2013	EMP5	6.0	all	weight	6.0	NA	NA	NA	66.0	NA	NA	62.4	76.6	kg	NA
Sarashina2013	EMP5	6.0	all	bmi	6.0	NA	NA	NA	21.8	NA	NA	20.7	24.1	kg/m^2	NA
Sarashina2013	EMP10	6.0	all	age	6.0	NA	NA	NA	25.0	NA	NA	20.0	32.0	yr	NA
Sarashina2013	EMP10	6.0	all	height	6.0	NA	NA	NA	173.0	NA	NA	169.0	183.0	cm	NA
Sarashina2013	EMP10	6.0	all	weight	6.0	NA	NA	NA	63.1	NA	NA	56.7	72.4	kg	NA
Sarashina2013	EMP10	6.0	all	bmi	6.0	NA	NA	NA	20.4	NA	NA	19.3	24.4	kg/m^2	NA
Sarashina2013	EMP25	6.0	all	age	6.0	NA	NA	NA	22.0	NA	NA	21.0	27.0	yr	NA
Sarashina2013	EMP25	6.0	all	height	6.0	NA	NA	NA	174.5	NA	NA	164.0	179.0	cm	NA
Sarashina2013	EMP25	6.0	all	weight	6.0	NA	NA	NA	66.4	NA	NA	62.5	74.2	kg	NA
Sarashina2013	EMP25	6.0	all	bmi	6.0	NA	NA	NA	21.9	NA	NA	20.0	24.3	kg/m^2	NA
Sarashina2013	EMP100	6.0	all	age	6.0	NA	NA	NA	30.0	NA	NA	20.0	35.0	yr	NA
Sarashina2013	EMP100	6.0	all	height	6.0	NA	NA	NA	172.5	NA	NA	165.0	179.0	cm	NA
Sarashina2013	EMP100	6.0	all	weight	6.0	NA	NA	NA	66.0	NA	NA	57.3	71.0	kg	NA
Sarashina2013	EMP100	6.0	all	bmi	6.0	NA	NA	NA	22.3	NA	NA	21.1	23.3	kg/m^2	NA
Sarashina2013	OGTT10	6.0	all	age	6.0	NA	NA	NA	26.0	NA	NA	20.0	31.0	yr	NA
Sarashina2013	OGTT10	6.0	all	height	6.0	NA	NA	NA	170.0	NA	NA	165.0	182.0	cm	NA
Sarashina2013	OGTT10	6.0	all	weight	6.0	NA	NA	NA	56.8	NA	NA	52.4	80.6	kg	NA
Sarashina2013	OGTT10	6.0	all	bmi	6.0	NA	NA	NA	20.0	NA	NA	18.0	24.5	kg/m^2	NA
