Study	PubMed ID	Model Type	Platform/Software	Open Software	Open Model	Open Code	Open Data	Open License	Reproducibility	FAIR	Longterm Storage	Resources	Studies	Clinical Data Used	Scope
Baron2016	27312794	Population PK/PD, exposure-response, NLME	NONMEM, R	No	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	10 (2 Phase I, 4 Phase II, 4 Phase III)	Industry clinical trials, closed datasets	Empagliflozin PK, efficacy exposure-response, safety modeling in T2DM
Fayette2023	37644910	Population PK/PD, Bayesian borrowing	NONMEM, R	No	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	5 phase II trials + 1 phase III target trial	Industry clinical trials, closed datasets	Bayesian borrowing using PK/PD simulations to improve clinical trial efficiency
Guo2023	40230691	PBPK/PD	PK-Sim, MoBi	Yes	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	Many (aggregated literature data across multiple drugs)	Literature-derived clinical PK/PD data, digitized	PBPK/PD of SGLT2 inhibitors to optimize dosing in renal insufficiency
Hosny2023	37222106	Molecular docking, spectroscopic binding study	MOE	No	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	1 in vitro study	None (in vitro protein binding)	Empagliflozin binding to serum albumin, fluorescence quenching, docking, quantification method
Jiang2024	38675482	Population PK, NLME	Monolix Suite	No	No	No	No	No	No	No	No	Paper only; no executable model files	2 Phase I crossover studies	Industry clinical trial data, closed	Population PK comparison of empagliflozin L-proline cocrystal vs conventional formulation
Mondick2018	29251772	Mechanistic Population PK/PD, NLME	NONMEM	No	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	1 Phase II randomized clinical trial	Industry clinical trial data, closed	Mechanistic PK/PD modeling of empagliflozin effect on renal glucose threshold and urinary glucose excretion in T1DM
Perkins2020	31858718	Exposure-response PK/PD, NLME	NONMEM	No	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	3 trials	Industry clinical trial data, closed	Low-dose empagliflozin efficacy simulation in T1DM using exposure-response modeling
Ping2024	38363006	PBPK/UGE mechanistic model	PK-Sim, MoBi	Yes	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	Multiple literature clinical PK/UGE studies (≈8 PK + 3 UGE)	Literature-derived clinical data, not publicly provided	Mechanistic PBPK-UGE modeling of empagliflozin PK, urinary glucose excretion, and SGLT1 compensation
Riggs2013	23940010	Population PK, NLME	NONMEM	No	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	5 Phase I/II studies	Industry clinical trial data, closed	Population PK of empagliflozin in T2DM, covariate effects on exposure
Riggs2014	24964723	Exposure-response PK/PD, NLME	NONMEM	No	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	5 Phase I/II studies	Industry clinical trial data, closed	Exposure-response modeling for efficacy (HbA1c, FPG, UGE) and tolerability in T2DM
Yakovleva2019	31423699	QSP, mechanistic renal glucose model, ODE	R, IQRtools	Yes	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	Many (pooled literature studies + internal datasets across multiple trials)	Literature PK/PD data + AstraZeneca internal data, not publicly available	Renal glucose filtration, reabsorption, and urinary glucose excretion; SGLT1 vs SGLT2 contributions under SGLT2 inhibition
Yao2023	36890732	Model-based meta-analysis, PK/PD/end-point modeling, NLME	NONMEM, PsN, R	No	No	No	No	No	No	No	No	Paper + supplementary material only; no executable model files	Many (meta-analysis of ~80 published clinical studies across three SGLT2 inhibitors + external validation studies)	Literature-derived summary-level clinical PK/PD and endpoint data, digitized from publications; not provided as dataset	Translational PK/PD/end-point modeling linking exposure → UGE biomarker → FPG → HbA1c for SGLT2 inhibitors
Zhang2023	37342592	PBPK, mechanistic tissue distribution model	GastroPlus, ADMET Predictor, Origin	No	No	No	No	No	No	No	No	Paper only; no executable model files	Few (data aggregated from several clinical PK studies per drug)	Literature clinical PK data (digitized) + internal data; not publicly provided	PBPK simulation of tissue concentrations and comparative SGLT1 vs SGLT2 inhibition for four gliflozins
Alejandro2026	-	PBPK/PD	SBML, Python	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	GitHub:  https://github.com/matthiaskoenig/empagliflozin-model   Zenodo: https://zenodo.org/records/18481047  	27 published clinical studies	27 clinical studies; digitized literature data, provided in model files and in PK-DB https://pk-db.com/ 	Whole-body mechanistic PBPK/PD model of empagliflozin linking ADME to SGLT2-mediated urinary glucose excretion and renal threshold for glucose, capturing dose dependency, renal and hepatic impairment, implemented in SBML with full FAIR compliance
