study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	raw
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	0.1	hr	NA	NA	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	0.45	hr	NA	6.24901429760496	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	1.0	hr	NA	7.95286408163293	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	1.5	hr	NA	8.75806929295108	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	2.0	hr	NA	7.7115856797937	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	3.0	hr	NA	6.74481949535212	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	4.0	hr	NA	5.51709289699219	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	6.0	hr	NA	3.69139251165476	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	8.0	hr	NA	2.64092966760702	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	10.0	hr	NA	2.16021411998513	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	12.0	hr	NA	1.70880862110102	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP0.5	14.0	hr	NA	1.494583109104	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	0.3	hr	NA	11.5256057014279	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	0.45	hr	NA	18.4191890799774	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	1.0	hr	NA	32.5467232957941	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	1.5	hr	NA	50.3003122022392	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	2.0	hr	NA	47.0418077084874	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	3.0	hr	NA	42.5455345785365	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	4.0	hr	NA	35.9863077051213	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	6.0	hr	NA	23.2848733543994	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	8.0	hr	NA	15.5795105756003	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	10.0	hr	NA	13.1776240919906	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	12.0	hr	NA	9.11717695195269	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	14.0	hr	NA	7.21202145262691	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	24.0	hr	NA	3.22861953577774	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP2.5	34.0	hr	NA	1.545480070147	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	0.45	hr	NA	65.7532757648785	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	1.0	hr	NA	124.234105595208	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	1.5	hr	NA	167.931006153629	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	2.0	hr	NA	212.292310675868	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	3.0	hr	NA	198.5398026289	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	4.0	hr	NA	167.931006153629	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	6.0	hr	NA	146.878264887461	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	8.0	hr	NA	98.2737353264449	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	10.0	hr	NA	70.3078912228236	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	12.0	hr	NA	50.3003122022392	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	14.0	hr	NA	39.7893923292432	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	24.0	hr	NA	30.4383140340417	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	concentration	empagliflozin	plasma	HPLC MS/MS	empagliflozin_EMP10	34.0	hr	NA	14.0904152752465	NA	NA	NA	nmol/l	NA	NA
