study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Seman2013	NA	placebo	17.0	placebo	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	placebo	17.0	placebo	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	placebo	17.0	placebo	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	placebo	17.0	placebo	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	placebo	17.0	placebo	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	cumulative amount	glucose	urine	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
