study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	traw
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	30.0380470725539	hr	NA	2.91036544952523	NA	NA	NA	nmol/l	NA	30.0380470725539
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	35.4944174285158	hr	NA	2.01649905957652	NA	NA	NA	nmol/l	NA	35.4944174285158
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	96.0	hr	NA	4.48285953899702	NA	NA	NA	nmol/l	NA	95.4929577464788
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	120.0	hr	NA	5.27132362166922	NA	NA	NA	nmol/l	NA	119.830985915492
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	144.0	hr	NA	5.88039355193324	NA	NA	NA	nmol/l	NA	144.169014084507
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	168.0	hr	NA	4.54069717405162	NA	NA	NA	nmol/l	NA	167.492957746478
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	192.0	hr	NA	5.33760870051913	NA	NA	NA	nmol/l	NA	192.505263157894
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	192.505263157894	hr	NA	11.7464343514621	NA	NA	NA	nmol/l	NA	192.505263157894
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	192.505263157894	hr	NA	31.8896112668075	NA	NA	NA	nmol/l	NA	192.505263157894
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	192.505263157894	hr	NA	39.3525995437898	NA	NA	NA	nmol/l	NA	192.505263157894
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	193.010526315789	hr	NA	73.9752401502883	NA	NA	NA	nmol/l	NA	193.010526315789
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	194.021052631578	hr	NA	59.9527305346345	NA	NA	NA	nmol/l	NA	194.021052631578
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	195.031578947368	hr	NA	51.2054063663294	NA	NA	NA	nmol/l	NA	195.031578947368
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	196.042105263157	hr	NA	39.3780436262923	NA	NA	NA	nmol/l	NA	196.042105263157
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	198.063157894736	hr	NA	28.7378963574721	NA	NA	NA	nmol/l	NA	198.063157894736
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	200.084210526315	hr	NA	23.2979609507233	NA	NA	NA	nmol/l	NA	200.084210526315
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	203.621052631578	hr	NA	12.4058355497356	NA	NA	NA	nmol/l	NA	203.621052631578
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	208.168421052631	hr	NA	8.59282887346579	NA	NA	NA	nmol/l	NA	208.168421052631
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	215.747368421052	hr	NA	4.82513251073653	NA	NA	NA	nmol/l	NA	215.747368421052
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	221.810526315789	hr	NA	3.34317986485839	NA	NA	NA	nmol/l	NA	221.810526315789
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	227.873684210526	hr	NA	3.17538611678402	NA	NA	NA	nmol/l	NA	227.873684210526
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	1.84613193100746	hr	NA	215.745396439522	NA	NA	NA	nmol/l	NA	1.77049180327868
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	2.46150924134328	hr	NA	174.849390019535	NA	NA	NA	nmol/l	NA	2.36065573770491
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	2.46150924134328	hr	NA	141.690235018828	NA	NA	NA	nmol/l	NA	2.36065573770491
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	4.30764117235075	hr	NA	127.590451721384	NA	NA	NA	nmol/l	NA	4.1311475409836
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	5.5383957930224	hr	NA	98.1197637264877	NA	NA	NA	nmol/l	NA	5.31147540983606
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	7.99990503436568	hr	NA	71.6073055165374	NA	NA	NA	nmol/l	NA	7.67213114754098
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	11.6921688963806	hr	NA	44.6435364156603	NA	NA	NA	nmol/l	NA	11.2131147540983
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	15.9998100687313	hr	NA	30.9220823690737	NA	NA	NA	nmol/l	NA	15.3442622950819
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	23.999715103097	hr	NA	17.3674230926665	NA	NA	NA	nmol/l	NA	23.0163934426229
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	30.768865516791	hr	NA	10.8335443772898	NA	NA	NA	nmol/l	NA	29.5081967213114
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	35.6918839994777	hr	NA	7.12026970468812	NA	NA	NA	nmol/l	NA	34.2295081967213
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	47.9994302061941	hr	NA	3.79716562280393	NA	NA	NA	nmol/l	NA	46.0327868852459
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	96.0	hr	NA	18.5350382898717	NA	NA	NA	nmol/l	NA	91.4754098360655
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	120.0	hr	NA	20.6766511539057	NA	NA	NA	nmol/l	NA	114.491803278688
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	144.0	hr	NA	23.0657145809041	NA	NA	NA	nmol/l	NA	137.508196721311
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	168.0	hr	NA	21.9789661937989	NA	NA	NA	nmol/l	NA	161.11475409836
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	192.0	hr	NA	24.5185043378625	NA	NA	NA	nmol/l	NA	184.131147540983
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	192.613098135112	hr	NA	51.1888605327258	NA	NA	NA	nmol/l	NA	184.721311475409
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	192.613098135112	hr	NA	91.2676807829537	NA	NA	NA	nmol/l	NA	184.721311475409
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	192.613098135112	hr	NA	162.726606312593	NA	NA	NA	nmol/l	NA	184.721311475409
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	193.843852755784	hr	NA	223.119967760927	NA	NA	NA	nmol/l	NA	185.901639344262
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	194.459230066119	hr	NA	211.716240357756	NA	NA	NA	nmol/l	NA	186.491803278688
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	196.305361997127	hr	NA	171.620960061276	NA	NA	NA	nmol/l	NA	188.262295081967
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	198.151493928134	hr	NA	118.821034815488	NA	NA	NA	nmol/l	NA	190.032786885245
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	200.613003169477	hr	NA	86.7149880786648	NA	NA	NA	nmol/l	NA	192.39344262295
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	204.305267031493	hr	NA	54.0624130477772	NA	NA	NA	nmol/l	NA	195.934426229508
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	207.997530893507	hr	NA	46.2043627942547	NA	NA	NA	nmol/l	NA	199.475409836065
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	215.997435927873	hr	NA	27.3514709320309	NA	NA	NA	nmol/l	NA	207.147540983606
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	222.151209031231	hr	NA	17.059609449277	NA	NA	NA	nmol/l	NA	213.049180327868
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	228.30498213459	hr	NA	10.6403884195142	NA	NA	NA	nmol/l	NA	218.950819672131
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	239.99715103097	hr	NA	6.3028343526398	NA	NA	NA	nmol/l	NA	230.163934426229
Heise2013	NA	all	9.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10	252.304697237687	hr	NA	3.73388630621007	NA	NA	NA	nmol/l	NA	241.967213114754
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	0.615377310335822	hr	NA	405.341033423613	NA	NA	NA	nmol/l	NA	0.590163934426229
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	1.23075462067163	hr	NA	555.716966950699	NA	NA	NA	nmol/l	NA	1.18032786885245
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	1.84613193100746	hr	NA	527.31410875733	NA	NA	NA	nmol/l	NA	1.77049180327868
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	2.46150924134328	hr	NA	500.362929028953	NA	NA	NA	nmol/l	NA	2.36065573770491
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	4.30764117235075	hr	NA	384.831159950841	NA	NA	NA	nmol/l	NA	4.1311475409836
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	6.15377310335822	hr	NA	311.951001116662	NA	NA	NA	nmol/l	NA	5.90163934426229
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	7.99990503436568	hr	NA	194.422841677411	NA	NA	NA	nmol/l	NA	7.67213114754098
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	12.3075462067164	hr	NA	115.017594056308	NA	NA	NA	nmol/l	NA	11.8032786885245
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	15.3844327583955	hr	NA	75.5700660204906	NA	NA	NA	nmol/l	NA	14.7540983606557
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	23.3843377927612	hr	NA	42.4440144118897	NA	NA	NA	nmol/l	NA	22.4262295081967
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	29.5381108961195	hr	NA	25.1173490218638	NA	NA	NA	nmol/l	NA	28.327868852459
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	36.3072613098135	hr	NA	14.8654456179788	NA	NA	NA	nmol/l	NA	34.8196721311475
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	47.3840528958582	hr	NA	8.80459855434771	NA	NA	NA	nmol/l	NA	45.4426229508196
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	96.0	hr	NA	45.3072941930558	NA	NA	NA	nmol/l	NA	92.0655737704918
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	120.0	hr	NA	50.5368367309027	NA	NA	NA	nmol/l	NA	114.491803278688
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	144.0	hr	NA	53.4946687081791	NA	NA	NA	nmol/l	NA	138.098360655737
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	168.0	hr	NA	50.9632692379326	NA	NA	NA	nmol/l	NA	160.524590163934
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	192.0	hr	NA	66.5708233630751	NA	NA	NA	nmol/l	NA	184.131147540983
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	191.997720824776	hr	NA	131.852260981535	NA	NA	NA	nmol/l	NA	184.131147540983
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	192.613098135112	hr	NA	261.178858428593	NA	NA	NA	nmol/l	NA	184.721311475409
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	191.997720824776	hr	NA	397.685389863394	NA	NA	NA	nmol/l	NA	184.131147540983
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	192.613098135112	hr	NA	574.650478592903	NA	NA	NA	nmol/l	NA	184.721311475409
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	193.843852755784	hr	NA	574.774301874716	NA	NA	NA	nmol/l	NA	185.901639344262
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	194.459230066119	hr	NA	517.466246956505	NA	NA	NA	nmol/l	NA	186.491803278688
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	196.305361997127	hr	NA	442.108873070405	NA	NA	NA	nmol/l	NA	188.262295081967
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	198.76687123847	hr	NA	358.419946005701	NA	NA	NA	nmol/l	NA	190.622950819672
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	199.382248548806	hr	NA	261.488536036219	NA	NA	NA	nmol/l	NA	191.213114754098
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	204.305267031493	hr	NA	139.268959336235	NA	NA	NA	nmol/l	NA	195.934426229508
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	207.997530893507	hr	NA	101.659680084932	NA	NA	NA	nmol/l	NA	199.475409836065
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	215.997435927873	hr	NA	63.4274849348206	NA	NA	NA	nmol/l	NA	207.147540983606
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	222.151209031231	hr	NA	43.9468740062297	NA	NA	NA	nmol/l	NA	213.049180327868
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	228.920359444925	hr	NA	22.2146241595758	NA	NA	NA	nmol/l	NA	219.540983606557
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	239.381773720635	hr	NA	15.4034130838994	NA	NA	NA	nmol/l	NA	229.573770491803
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	251.073942617015	hr	NA	6.31506786843909	NA	NA	NA	nmol/l	NA	240.786885245901
Heise2013	NA	all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	263.996866134067	hr	NA	10.1587426391967	NA	NA	NA	nmol/l	NA	253.180327868852
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	0.615377310335822	hr	NA	2689.91389686341	NA	NA	NA	nmol/l	NA	0.590163934426229
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	1.23075462067163	hr	NA	2421.71517464513	NA	NA	NA	nmol/l	NA	1.18032786885245
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	1.84613193100746	hr	NA	2180.25729148619	NA	NA	NA	nmol/l	NA	1.77049180327868
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	2.46150924134328	hr	NA	1862.35033690381	NA	NA	NA	nmol/l	NA	2.36065573770491
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	4.30764117235075	hr	NA	1862.95230652113	NA	NA	NA	nmol/l	NA	4.1311475409836
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	5.5383957930224	hr	NA	1289.66809186719	NA	NA	NA	nmol/l	NA	5.31147540983606
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	7.99990503436568	hr	NA	991.995823178864	NA	NA	NA	nmol/l	NA	7.67213114754098
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	12.3075462067164	hr	NA	556.795588395395	NA	NA	NA	nmol/l	NA	11.8032786885245
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	15.3844327583955	hr	NA	347.096519048109	NA	NA	NA	nmol/l	NA	14.7540983606557
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	23.999715103097	hr	NA	216.583713289681	NA	NA	NA	nmol/l	NA	23.0163934426229
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	30.1534882064552	hr	NA	135.087197722487	NA	NA	NA	nmol/l	NA	28.9180327868852
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	35.6918839994777	hr	NA	88.7946613632359	NA	NA	NA	nmol/l	NA	34.2295081967213
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	47.9994302061941	hr	NA	55.4425379000341	NA	NA	NA	nmol/l	NA	46.0327868852459
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	96.0	hr	NA	231.144678019729	NA	NA	NA	nmol/l	NA	91.4754098360655
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	120.0	hr	NA	271.770092253724	NA	NA	NA	nmol/l	NA	114.491803278688
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	144.0	hr	NA	287.645328092546	NA	NA	NA	nmol/l	NA	137.508196721311
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	168.0	hr	NA	260.055846410259	NA	NA	NA	nmol/l	NA	161.11475409836
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	192.0	hr	NA	377.318922853776	NA	NA	NA	nmol/l	NA	184.131147540983
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	191.997720824776	hr	NA	747.329694542776	NA	NA	NA	nmol/l	NA	184.131147540983
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	192.613098135112	hr	NA	1264.35644344979	NA	NA	NA	nmol/l	NA	184.721311475409
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	192.613098135112	hr	NA	1560.24833239276	NA	NA	NA	nmol/l	NA	184.721311475409
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	193.228475445448	hr	NA	1826.97945124415	NA	NA	NA	nmol/l	NA	185.311475409836
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	192.613098135112	hr	NA	2375.97643454062	NA	NA	NA	nmol/l	NA	184.721311475409
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	193.228475445448	hr	NA	2376.23240348521	NA	NA	NA	nmol/l	NA	185.311475409836
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	194.459230066119	hr	NA	2255.02537649243	NA	NA	NA	nmol/l	NA	186.491803278688
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	196.305361997127	hr	NA	2140.231432728	NA	NA	NA	nmol/l	NA	188.262295081967
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	198.151493928134	hr	NA	1646.06068322921	NA	NA	NA	nmol/l	NA	190.032786885245
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	199.997625859142	hr	NA	1139.64304640034	NA	NA	NA	nmol/l	NA	191.803278688524
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	204.305267031493	hr	NA	674.195481091968	NA	NA	NA	nmol/l	NA	195.934426229508
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	207.997530893507	hr	NA	443.014708120458	NA	NA	NA	nmol/l	NA	199.475409836065
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	215.997435927873	hr	NA	291.325129011839	NA	NA	NA	nmol/l	NA	207.147540983606
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	222.151209031231	hr	NA	191.512618812205	NA	NA	NA	nmol/l	NA	213.049180327868
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	228.30498213459	hr	NA	125.897423571787	NA	NA	NA	nmol/l	NA	218.950819672131
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	239.99715103097	hr	NA	92.0278879528644	NA	NA	NA	nmol/l	NA	230.163934426229
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	252.304697237687	hr	NA	44.1794648210113	NA	NA	NA	nmol/l	NA	241.967213114754
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	263.996866134067	hr	NA	26.1697071174986	NA	NA	NA	nmol/l	NA	253.180327868852
Heise2013	NA	all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	287.996581237164	hr	NA	14.7394718599151	NA	NA	NA	nmol/l	NA	276.196721311475
