study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	traw
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	0.720793619918296	hr	NA	54.9786253452403	NA	NA	NA	nmol/l	NA	0.720793619918296
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	2.68710367632753	hr	NA	64.3843917725517	NA	NA	NA	nmol/l	NA	2.68710367632753
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	3.19502042404201	hr	NA	49.5076293852419	NA	NA	NA	nmol/l	NA	3.19502042404201
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	3.20622446994747	hr	NA	40.1231217081813	NA	NA	NA	nmol/l	NA	3.20622446994747
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	4.69822991635867	hr	NA	30.8555316550857	NA	NA	NA	nmol/l	NA	4.69822991635867
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	6.69068274654736	hr	NA	25.0120442196531	NA	NA	NA	nmol/l	NA	6.69068274654736
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	8.6812682357518	hr	NA	17.3188470170085	NA	NA	NA	nmol/l	NA	8.6812682357518
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	13.1572845749853	hr	NA	10.7974259316671	NA	NA	NA	nmol/l	NA	13.1572845749853
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	16.1450301497762	hr	NA	7.09500231271538	NA	NA	NA	nmol/l	NA	16.1450301497762
Heise2013	NA	all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	25.0765220774168	hr	NA	4.42718916023984	NA	NA	NA	nmol/l	NA	25.0765220774168
