study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	traw	mean_unit	value_unit
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	193.843852755784	hr		574.774301874716					185.901639344262	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	194.459230066119	hr		517.466246956505					186.491803278688	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	196.305361997127	hr		442.108873070405					188.262295081967	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	198.76687123847	hr		358.419946005701					190.622950819672	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	199.382248548806	hr		261.488536036219					191.213114754098	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	204.305267031493	hr		139.268959336235					195.934426229508	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	207.997530893507	hr		101.659680084932					199.475409836065	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	215.997435927873	hr		63.4274849348206					207.147540983606	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	222.151209031231	hr		43.9468740062297					213.049180327868	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	228.920359444925	hr		22.2146241595758					219.540983606557	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	239.381773720635	hr		15.4034130838994					229.573770491803	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	251.073942617015	hr		6.31506786843909					240.786885245901	nmol/l	nmol/l
Heise2013		all	9.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	263.996866134067	hr		10.1587426391967					253.180327868852	nmol/l	nmol/l
