study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	traw	mean_unit	value_unit
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	0.615377310335822	hr		2689.91389686341					0.590163934426229	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	1.23075462067163	hr		2421.71517464513					1.18032786885245	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	1.84613193100746	hr		2180.25729148619					1.77049180327868	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	2.46150924134328	hr		1862.35033690381					2.36065573770491	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	4.30764117235075	hr		1862.95230652113					4.1311475409836	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	5.5383957930224	hr		1289.66809186719					5.31147540983606	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	7.99990503436568	hr		991.995823178864					7.67213114754098	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	12.3075462067164	hr		556.795588395395					11.8032786885245	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	15.3844327583955	hr		347.096519048109					14.7540983606557	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	23.999715103097	hr		216.583713289681					23.0163934426229	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	30.1534882064552	hr		135.087197722487					28.9180327868852	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	35.6918839994777	hr		88.7946613632359					34.2295081967213	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	47.9994302061941	hr		55.4425379000341					46.0327868852459	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	96.0	hr		231.144678019729					91.4754098360655	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	120.0	hr		271.770092253724					114.491803278688	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	144.0	hr		287.645328092546					137.508196721311	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	168.0	hr		260.055846410259					161.11475409836	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	192.0	hr		377.318922853776					184.131147540983	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	191.997720824776	hr		747.329694542776					184.131147540983	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	192.613098135112	hr		1264.35644344979					184.721311475409	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	192.613098135112	hr		1560.24833239276					184.721311475409	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	193.228475445448	hr		1826.97945124415					185.311475409836	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	192.613098135112	hr		2375.97643454062					184.721311475409	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	193.228475445448	hr		2376.23240348521					185.311475409836	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	194.459230066119	hr		2255.02537649243					186.491803278688	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	196.305361997127	hr		2140.231432728					188.262295081967	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	198.151493928134	hr		1646.06068322921					190.032786885245	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	199.997625859142	hr		1139.64304640034					191.803278688524	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	204.305267031493	hr		674.195481091968					195.934426229508	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	207.997530893507	hr		443.014708120458					199.475409836065	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	215.997435927873	hr		291.325129011839					207.147540983606	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	222.151209031231	hr		191.512618812205					213.049180327868	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	228.30498213459	hr		125.897423571787					218.950819672131	nmol/l	nmol/l
Heise2013		all	9.0	EMP100	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP100	239.99715103097	hr		92.0278879528644					230.163934426229	nmol/l	nmol/l
